stratum,level,turn,survival,ci_lo,ci_hi,n_at_risk,n_events
affordance_level,low,166.0,0.81892294678288,0.7262741010958327,0.8826964367332688,32,1
affordance_level,high,0.0,1.0,1.0,1.0,144,0
affordance_level,high,11.0,0.9930555555555556,0.9517324941643028,0.9990188544238897,144,1
affordance_level,high,12.0,0.9791666666666667,0.9368061347012656,0.9932329667245207,143,2
affordance_level,high,13.0,0.9652777777777778,0.9185969961657756,0.9853990861034082,141,2
affordance_level,high,14.0,0.9444444444444445,0.8919856001437534,0.9718225123444725,139,3
affordance_level,high,29.0,0.9375000000000001,0.8833343272163039,0.9669808974810363,136,1
affordance_level,high,44.0,0.9236111111111112,0.8663110929087103,0.9569535473924685,135,2
affordance_level,high,49.0,0.9166666666666666,0.85792314748041,0.9517948277549261,133,1
affordance_level,high,50.0,0.9097222222222222,0.849608479026542,0.9465530833123594,132,1
affordance_level,high,54.0,0.8958333333333333,0.8331764269638091,0.9358511281391283,131,2
affordance_level,high,57.0,0.8888888888888888,0.8250494961090171,0.9304032282015858,129,1
affordance_level,high,58.0,0.8819444444444444,0.8169765544950658,0.9248974186815764,128,1
affordance_level,high,62.0,0.875,0.8089541396594501,0.9193378640226575,127,1
affordance_level,high,66.0,0.8680555555555556,0.8009791811063017,0.9137281886326226,126,1
affordance_level,high,68.0,0.8611111111111112,0.7930489442894273,0.9080715701596932,125,1
affordance_level,high,69.0,0.8541666666666667,0.7851609837517397,0.9023708129056931,124,1
affordance_level,high,76.0,0.8402777777777779,0.7695033260798251,0.8908465721562169,123,2
affordance_level,high,77.0,0.8263888888888891,0.7539910846456779,0.8791723927943711,121,2
affordance_level,high,86.0,0.8194444444444446,0.7462855196627057,0.8732834649837509,119,1
affordance_level,high,88.0,0.8125000000000002,0.7386118171140528,0.8673619922460465,118,1
affordance_level,high,90.0,0.8055555555555558,0.73096874258369,0.8614093158409274,117,1
affordance_level,high,93.0,0.7986111111111114,0.7233551635483341,0.8554266609031036,116,1
affordance_level,high,95.0,0.791666666666667,0.7157700385799611,0.8494151496367831,115,1
affordance_level,high,96.0,0.7847222222222225,0.7082124079821994,0.8433758126110423,114,1
affordance_level,high,98.0,0.7708333333333336,0.6931761518920683,0.8312173823878416,113,2
affordance_level,high,110.0,0.7638888888888892,0.685695947296681,0.825099973270499,111,1
affordance_level,high,115.0,0.7569444444444448,0.678240067127167,0.8189581202242736,110,1
affordance_level,high,144.0,0.7500000000000003,0.6708078565287476,0.8127925180840276,109,1
finality,retry_invited,0.0,1.0,1.0,1.0,144,0
finality,retry_invited,13.0,0.9930555555555556,0.9517324941643028,0.9990188544238897,144,1
finality,retry_invited,14.0,0.9861111111111112,0.9456112309186862,0.9965082236997774,143,1
finality,retry_invited,44.0,0.9791666666666667,0.9368061347012656,0.9932329667245207,142,1
finality,retry_invited,49.0,0.9722222222222223,0.9276867568262944,0.9894830038772783,141,1
finality,retry_invited,54.0,0.9652777777777779,0.9185969961657756,0.9853990861034083,140,1
finality,retry_invited,58.0,0.9583333333333335,0.9096109684407587,0.9810624054559088,139,1
finality,retry_invited,63.0,0.951388888888889,0.9007417349210869,0.9765249660332502,138,1
finality,retry_invited,68.0,0.9444444444444445,0.8919856001437534,0.9718225123444725,137,1
finality,retry_invited,69.0,0.9375000000000001,0.8833343272163039,0.9669808974810363,136,1
finality,retry_invited,74.0,0.9166666666666667,0.85792314748041,0.9517948277549262,135,3
finality,retry_invited,76.0,0.9097222222222223,0.8496084790265421,0.9465530833123595,132,1
finality,retry_invited,77.0,0.8958333333333334,0.8331764269638092,0.9358511281391284,131,2
finality,retry_invited,78.0,0.888888888888889,0.8250494961090172,0.9304032282015859,129,1
finality,retry_invited,79.0,0.8819444444444445,0.8169765544950659,0.9248974186815765,128,1
finality,retry_invited,88.0,0.8750000000000001,0.8089541396594502,0.9193378640226576,127,1
finality,retry_invited,95.0,0.8680555555555557,0.8009791811063017,0.9137281886326227,126,1
finality,retry_invited,96.0,0.8541666666666667,0.7851609837517397,0.9023708129056931,125,2
finality,retry_invited,97.0,0.8472222222222222,0.777313103898462,0.8966284063242758,123,1
finality,retry_invited,98.0,0.8333333333333333,0.7617298608726015,0.8850273027938297,122,2
finality,retry_invited,100.0,0.8263888888888888,0.7539910846456777,0.8791723927943709,120,1
finality,retry_invited,101.0,0.8194444444444444,0.7462855196627055,0.8732834649837506,119,1
finality,retry_invited,102.0,0.8125,0.7386118171140525,0.8673619922460463,118,1
finality,retry_invited,103.0,0.8055555555555556,0.7309687425836898,0.8614093158409272,117,1
finality,retry_invited,110.0,0.7986111111111112,0.7233551635483338,0.8554266609031034,116,1
finality,retry_invited,115.0,0.7916666666666667,0.715770038579961,0.8494151496367829,115,1
finality,retry_invited,126.0,0.7847222222222223,0.7082124079821992,0.843375812611042,114,1
finality,retry_invited,131.0,0.7777777777777779,0.7006813856389328,0.837309598479954,113,1
